Row Labels,No second address,Second address is in the UK,Second address is outside the UK,(blank),TotalAdd
E00073143,331,21,7,,359
E00073145,380,31,5,,416
E00073147,511,19,8,,538
E00073148,268,24,2,,294
E00073150,429,21,11,,461
E00073152,380,22,5,,407
E00073153,484,26,3,,513
E00073154,357,19,3,,379
E00073155,324,30,11,,365
E00073156,263,22,3,,288
E00073157,333,68,8,,409
E00073158,318,16,8,,342
E00073159,314,15,7,,336
E00073160,386,16,2,,404
E00073161,374,14,1,,389
E00073162,326,60,7,,393
E00073163,306,33,2,,341
E00073164,280,17,1,,298
E00073165,240,99,4,,343
E00073166,271,16,6,,293
E00073167,382,40,7,,429
E00073168,350,21,6,,377
E00073169,430,39,6,,475
E00073170,389,171,16,,576
E00073171,477,33,8,,518
E00073172,310,4,1,,315
E00073173,297,25,2,,324
E00073174,281,27,4,,312
E00073176,308,34,2,,344
E00073177,312,26,3,,341
E00073178,291,56,5,,352
E00073179,307,24,3,,334
E00073181,464,21,5,,490
E00073182,377,58,12,,447
E00073183,306,9,2,,317
E00073184,326,9,2,,337
E00073185,345,10,2,,357
E00073186,276,14,0,,290
E00073187,361,3,7,,371
E00073188,269,8,3,,280
E00073189,296,9,2,,307
E00073190,410,5,0,,415
E00073191,281,5,0,,286
E00073192,267,11,1,,279
E00073193,329,18,1,,348
E00073194,301,18,2,,321
E00073195,326,15,2,,343
E00073196,221,7,5,,233
E00073197,362,12,2,,376
E00073198,202,5,0,,207
E00073199,288,5,2,,295
E00073200,287,3,1,,291
E00073201,254,6,0,,260
E00073202,313,17,4,,334
E00073203,284,8,3,,295
E00073204,286,10,0,,296
E00073205,387,7,3,,397
E00073206,447,10,0,,457
E00073207,287,10,2,,299
E00073208,243,3,3,,249
E00073209,290,3,0,,293
E00073210,364,11,0,,375
E00073211,484,14,4,,502
E00073212,380,11,3,,394
E00073213,335,7,7,,349
E00073214,394,13,0,,407
E00073215,310,10,3,,323
E00073216,359,8,0,,367
E00073217,312,7,2,,321
E00073218,368,11,6,,385
E00073219,350,5,1,,356
E00073220,354,12,0,,366
E00073221,281,13,1,,295
E00073222,392,11,0,,403
E00073223,317,3,6,,326
E00073224,295,10,1,,306
E00073225,388,18,4,,410
E00073226,234,6,2,,242
E00073227,242,12,6,,260
E00073228,321,26,5,,352
E00073229,295,18,1,,314
E00073230,332,15,2,,349
E00073231,415,28,0,,443
E00073232,288,18,4,,310
E00073233,301,11,0,,312
E00073234,275,23,0,,298
E00073236,268,16,0,,284
E00073237,313,9,1,,323
E00073238,286,2,4,,292
E00073239,453,15,4,,472
E00073240,387,13,2,,402
E00073241,258,14,4,,276
E00073242,249,10,1,,260
E00073243,345,9,5,,359
E00073245,353,11,1,,365
E00073246,314,13,0,,327
E00073247,318,9,1,,328
E00073248,288,18,1,,307
E00073249,247,3,0,,250
E00073250,477,12,5,,494
E00073251,354,8,7,,369
E00073252,324,4,2,,330
E00073253,498,19,6,,523
E00073254,303,17,7,,327
E00073255,420,8,1,,429
E00073256,353,7,5,,365
E00073257,373,8,8,,389
E00073258,382,17,5,,404
E00073259,256,4,0,,260
E00073260,299,5,3,,307
E00073261,333,9,3,,345
E00073262,232,6,1,,239
E00073263,329,68,6,,403
E00073264,301,59,2,,362
E00073266,288,39,5,,332
E00073267,260,14,3,,277
E00073268,367,55,2,,424
E00073269,339,60,2,,401
E00073270,317,78,0,,395
E00073271,408,70,1,,479
E00073272,313,40,5,,358
E00073273,261,20,1,,282
E00073274,542,52,5,,599
E00073276,251,71,2,,324
E00073277,311,19,0,,330
E00073278,369,23,1,,393
E00073280,323,33,4,,360
E00073281,358,67,1,,426
E00073282,359,59,4,,422
E00073283,318,21,0,,339
E00073284,174,26,4,,204
E00073285,332,38,5,,375
E00073286,311,25,2,,338
E00073287,275,16,2,,293
E00073288,280,23,14,,317
E00073289,331,29,5,,365
E00073290,301,12,5,,318
E00073291,310,27,1,,338
E00073292,466,75,8,,549
E00073293,350,47,6,,403
E00073294,365,72,2,,439
E00073295,324,11,4,,339
E00073296,271,39,4,,314
E00073297,312,48,3,,363
E00073298,341,72,0,,413
E00073299,340,30,10,,380
E00073300,247,18,6,,271
E00073301,359,13,2,,374
E00073302,361,8,0,,369
E00073303,411,13,2,,426
E00073304,308,6,0,,314
E00073305,298,5,0,,303
E00073306,249,15,3,,267
E00073307,276,8,2,,286
E00073308,326,7,1,,334
E00073309,283,6,3,,292
E00073310,357,9,3,,369
E00073311,306,5,0,,311
