Row Labels,1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,TotalBed
E00073143,7,55,67,20,149
E00073145,57,46,37,21,161
E00073147,10,66,74,21,171
E00073148,74,34,16,17,141
E00073150,14,87,60,26,187
E00073152,9,21,55,59,144
E00073153,26,39,80,52,197
E00073154,8,6,50,66,130
E00073155,34,41,18,53,146
E00073156,19,41,54,7,121
E00073157,36,25,23,74,158
E00073158,30,28,77,16,151
E00073159,22,12,19,73,126
E00073160,28,41,46,57,172
E00073161,18,49,65,25,157
E00073162,56,34,26,50,166
E00073163,8,12,12,88,120
E00073164,2,56,60,8,126
E00073165,38,30,14,47,129
E00073166,5,43,54,11,113
E00073167,57,61,39,33,190
E00073168,30,73,46,8,157
E00073169,43,35,56,58,192
E00073170,58,91,22,43,214
E00073171,44,90,45,28,207
E00073172,39,61,47,5,152
E00073173,17,28,45,48,138
E00073174,32,33,43,36,144
E00073176,81,59,17,17,174
E00073177,83,45,14,17,159
E00073178,31,32,37,43,143
E00073179,26,36,43,32,137
E00073181,66,78,37,19,200
E00073182,78,57,19,35,189
E00073183,11,44,58,18,131
E00073184,0,3,107,11,121
E00073185,20,14,98,10,142
E00073186,1,21,80,11,113
E00073187,16,12,109,10,147
E00073188,21,5,83,7,116
E00073189,3,35,71,10,119
E00073190,3,9,100,8,120
E00073191,14,76,29,7,126
E00073192,9,33,69,10,121
E00073193,3,17,85,34,139
E00073194,6,27,81,3,117
E00073195,1,14,102,16,133
E00073196,26,55,40,1,122
E00073197,14,71,51,42,178
E00073198,38,55,28,4,125
E00073199,7,7,78,13,105
E00073200,33,16,73,8,130
E00073201,6,13,95,4,118
E00073202,29,84,29,20,162
E00073203,6,75,50,12,143
E00073204,1,6,101,7,115
E00073205,22,54,58,33,167
E00073206,3,36,107,35,181
E00073207,7,55,64,11,137
E00073208,3,84,27,3,117
E00073209,21,71,40,4,136
E00073210,0,11,102,31,144
E00073211,29,39,90,37,195
E00073212,53,47,41,28,169
E00073213,44,34,60,19,157
E00073214,2,29,104,12,147
E00073215,1,105,3,0,109
E00073216,6,77,45,4,132
E00073217,25,30,71,14,140
E00073218,4,40,76,22,142
E00073219,13,103,17,5,138
E00073220,25,20,88,12,145
E00073221,2,58,62,9,131
E00073222,16,12,110,11,149
E00073223,1,23,97,9,130
E00073224,21,55,63,8,147
E00073225,54,88,40,19,201
E00073226,36,72,19,5,132
E00073227,52,61,23,4,140
E00073228,14,90,41,14,159
E00073229,6,4,77,28,115
E00073230,14,53,71,11,149
E00073231,14,27,72,43,156
E00073232,5,53,74,9,141
E00073233,1,6,67,42,116
E00073234,2,31,78,12,123
E00073236,11,39,63,12,125
E00073237,7,63,65,11,146
E00073238,4,65,50,11,130
E00073239,33,132,40,15,220
E00073240,12,13,107,27,159
E00073241,9,66,48,7,130
E00073242,4,41,55,12,112
E00073243,1,3,97,30,131
E00073245,9,18,89,25,141
E00073246,2,12,107,15,136
E00073247,0,23,74,23,120
E00073248,8,47,66,16,137
E00073249,6,111,11,6,134
E00073250,34,129,58,9,230
E00073251,13,65,60,19,157
E00073252,5,48,82,6,141
E00073253,22,50,125,19,216
E00073254,15,53,61,14,143
E00073255,37,85,59,16,197
E00073256,28,45,79,7,159
E00073257,5,22,87,24,138
E00073258,4,11,120,20,155
E00073259,10,17,71,16,114
E00073260,6,3,98,20,127
E00073261,6,51,78,12,147
E00073262,27,21,60,5,113
E00073263,24,23,48,56,151
E00073264,16,7,44,63,130
E00073266,11,47,52,22,132
E00073267,5,25,56,33,119
E00073268,24,70,55,25,174
E00073269,20,59,51,33,163
E00073270,11,13,46,67,137
E00073271,14,60,63,52,189
E00073272,9,16,62,41,128
E00073273,21,31,37,34,123
E00073274,1,18,62,34,115
E00073276,34,39,20,36,129
E00073277,12,26,55,35,128
E00073278,1,7,45,78,131
E00073280,1,6,44,66,117
E00073281,9,22,45,65,141
E00073282,4,7,39,76,126
E00073283,3,9,43,62,117
E00073284,66,30,7,12,115
E00073285,21,15,28,79,143
E00073286,10,56,50,35,151
E00073287,9,33,40,40,122
E00073288,13,22,41,53,129
E00073289,11,16,33,68,128
E00073290,8,16,25,70,119
E00073291,20,13,43,52,128
E00073292,11,48,74,65,198
