Row Labels,Household is deprived in four dimensions,Household is deprived in one dimension,Household is deprived in three dimensions,Household is deprived in two dimensions,Household is not deprived in any dimension,TotalDep
E00073143,0,46,1,17,86,150
E00073145,0,53,4,37,64,158
E00073147,0,70,10,24,72,176
E00073148,0,48,9,24,58,139
E00073150,1,61,5,29,92,188
E00073152,1,40,5,15,83,144
E00073153,0,67,8,17,105,197
E00073154,0,38,0,7,85,130
E00073155,0,42,1,10,94,147
E00073156,0,40,2,19,62,123
E00073157,0,50,0,17,90,157
E00073158,0,54,5,18,74,151
E00073159,0,30,2,12,83,127
E00073160,0,56,2,17,98,173
E00073161,1,57,9,18,74,159
E00073162,0,62,3,14,90,169
E00073163,0,31,0,12,77,120
E00073164,1,28,0,9,86,124
E00073165,0,48,2,15,68,133
E00073166,0,34,2,8,69,113
E00073167,0,60,3,24,103,190
E00073168,1,41,9,23,84,158
E00073169,0,63,4,20,106,193
E00073170,1,73,7,18,114,213
E00073171,0,74,5,25,99,203
E00073172,1,44,9,22,76,152
E00073173,1,45,3,13,76,138
E00073174,8,35,6,14,83,146
E00073176,0,64,8,19,81,172
E00073177,0,64,10,27,58,159
E00073178,0,50,4,15,75,144
E00073179,0,41,7,24,66,138
E00073181,2,71,13,45,71,202
E00073182,8,49,12,33,86,188
E00073183,0,35,4,26,66,131
E00073184,0,50,9,22,42,123
E00073185,0,49,11,28,56,144
E00073186,0,30,5,23,50,108
E00073187,1,41,10,31,64,147
E00073188,0,37,12,27,39,115
E00073189,1,46,3,17,53,120
E00073190,0,33,12,32,43,120
E00073191,0,39,13,25,49,126
E00073192,0,40,4,16,60,120
E00073193,0,47,1,13,77,138
E00073194,1,40,11,26,38,116
E00073195,2,41,11,12,67,133
E00073196,0,47,9,28,38,122
E00073197,0,60,5,28,86,179
E00073198,0,54,14,26,28,122
E00073199,0,38,4,20,43,105
E00073200,1,52,13,29,35,130
E00073201,1,40,4,13,60,118
E00073202,0,58,6,15,82,161
E00073203,0,50,2,14,77,143
E00073204,1,36,5,10,63,115
E00073205,1,52,3,23,89,168
E00073206,0,64,3,23,88,178
E00073207,0,53,3,24,57,137
E00073208,2,50,6,17,43,118
E00073209,2,54,11,32,37,136
E00073210,0,42,4,14,84,144
E00073211,0,71,8,31,85,195
E00073212,1,62,8,35,63,169
E00073213,2,51,7,25,74,159
E00073214,0,54,4,24,69,151
E00073215,1,42,15,30,20,108
E00073216,0,45,11,36,39,131
E00073217,0,55,4,19,63,141
E00073218,0,56,4,25,59,144
E00073219,0,48,18,39,33,138
E00073220,2,52,7,31,52,144
E00073221,0,49,3,20,59,131
E00073222,0,60,14,30,47,151
E00073223,0,41,1,15,73,130
E00073224,1,41,1,13,90,146
E00073225,0,59,6,13,123,201
E00073226,0,46,6,40,41,133
E00073227,0,36,8,14,82,140
E00073228,0,49,2,15,93,159
E00073229,0,38,3,16,59,116
E00073230,0,34,2,9,103,148
E00073231,0,46,1,18,94,159
E00073232,0,35,2,7,97,141
E00073233,1,31,0,6,78,116
E00073234,1,24,1,13,84,123
E00073236,2,38,1,8,75,124
E00073237,0,38,0,6,102,146
E00073238,0,27,2,5,96,130
E00073239,0,57,7,16,140,220
E00073240,1,43,5,17,93,159
E00073241,1,36,2,10,80,129
E00073242,0,43,1,15,52,111
E00073243,0,44,3,7,77,131
E00073245,0,52,4,19,67,142
E00073246,0,39,6,13,78,136
E00073247,0,36,2,15,69,122
E00073248,0,37,0,14,85,136
E00073249,2,44,17,54,17,134
E00073250,1,76,8,16,130,231
E00073251,0,46,8,17,85,156
E00073252,0,43,3,24,69,139
E00073253,1,64,11,29,111,216
E00073254,0,40,5,21,77,143
E00073255,0,65,10,26,100,201
E00073256,0,55,9,22,77,163
E00073257,0,45,0,20,74,139
E00073258,2,38,1,26,88,155
E00073259,0,31,8,15,59,113
E00073260,0,42,0,18,65,125
E00073261,0,53,7,41,45,146
E00073262,1,39,18,27,27,112
E00073263,0,44,0,9,99,152
E00073264,0,40,2,13,75,130
E00073266,0,31,0,5,97,133
E00073267,0,39,1,10,69,119
E00073268,0,45,0,17,111,173
E00073269,0,45,1,12,105,163
E00073270,0,34,2,11,90,137
E00073271,0,52,1,18,118,189
E00073272,0,42,1,11,75,129
E00073273,1,45,3,5,71,125
E00073274,0,35,3,8,71,117
E00073276,1,44,8,19,56,128
E00073277,0,36,0,9,83,128
E00073278,0,34,2,4,92,132
E00073280,0,21,1,7,89,118
E00073281,0,40,3,8,90,141
E00073282,0,30,0,7,90,127
E00073283,0,27,0,9,80,116
E00073284,1,44,13,25,32,115
E00073285,0,43,1,11,86,141
E00073286,2,33,3,9,105,152
E00073287,0,37,0,7,81,125
E00073288,0,35,1,9,82,127
E00073289,0,33,1,7,87,128
E00073290,0,27,1,0,91,119
E00073291,1,36,1,8,82,128
E00073292,0,52,2,10,134,198
E00073293,0,45,1,6,95,147
E00073294,0,46,2,10,90,148
E00073295,0,43,0,4,84,131
E00073296,0,31,1,8,73,113
E00073297,0,37,0,14,90,141
E00073298,0,68,4,17,99,188
E00073299,1,46,1,9,88,145
E00073300,0,27,1,1,78,107
E00073301,0,40,2,23,78,143
E00073302,0,52,9,39,48,148
E00073303,1,53,4,22,72,152
E00073304,0,54,5,26,34,119
E00073305,0,54,6,17,57,134
E00073306,0,44,0,17,48,109
E00073307,0,46,4,20,55,125
E00073308,0,47,14,21,44,126
E00073309,0,42,9,31,49,131
