Row Labels,Any other combination of only UK identities,British only identity,Cornish and British only identity,Cornish only identity,Does not apply,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Welsh and British only identity,Welsh only identity,TotalIde
E00073143,3,199,1,1,0,44,18,4,4,0,0,22,52,0,1,3,8,360
E00073145,0,258,0,0,0,26,20,0,1,0,0,12,91,1,0,3,5,417
E00073147,1,377,0,0,0,33,25,0,0,0,0,23,70,0,1,3,3,536
E00073148,1,140,0,2,0,30,21,0,5,0,0,14,70,0,1,5,3,292
E00073150,1,270,0,0,0,43,37,1,3,0,0,20,68,1,2,7,7,460
E00073152,5,270,2,1,0,42,24,5,6,0,1,14,25,0,5,1,6,407
E00073153,2,317,0,0,0,60,35,1,3,0,3,15,63,0,9,2,7,517
E00073154,4,228,0,0,0,38,34,2,4,0,4,25,31,0,1,1,7,379
E00073155,2,198,0,2,0,52,27,3,4,0,2,16,42,0,3,2,10,363
E00073156,0,178,0,0,0,30,16,3,0,0,0,15,35,0,3,2,6,288
E00073157,2,259,0,0,0,53,20,5,5,0,0,22,20,0,2,4,19,411
E00073158,1,226,0,1,0,30,25,1,2,0,0,6,45,0,0,3,2,342
E00073159,1,201,0,1,0,48,20,3,2,1,2,18,32,0,1,1,4,335
E00073160,3,244,0,0,0,40,29,3,3,0,1,15,46,5,6,4,6,405
E00073161,1,225,1,0,0,33,30,1,1,0,0,16,77,1,0,0,1,387
E00073162,3,232,0,0,0,46,30,1,0,0,3,14,47,1,2,6,11,396
E00073163,1,206,0,0,0,50,20,3,5,1,1,18,29,0,0,2,3,339
E00073164,2,198,1,0,0,25,20,1,5,0,0,10,22,2,2,1,5,294
E00073165,2,186,0,0,0,51,30,2,9,0,1,16,30,0,1,5,8,341
E00073166,0,166,0,3,0,32,26,2,4,0,2,16,30,0,0,2,7,290
E00073167,1,250,0,0,0,55,34,3,6,0,3,22,50,0,2,2,3,431
E00073168,1,233,0,0,0,21,40,1,7,0,0,18,46,3,0,0,6,376
E00073169,3,277,0,0,0,40,38,0,3,1,1,30,70,0,3,3,8,477
E00073170,7,286,0,0,0,101,37,1,1,0,1,40,68,1,2,2,27,574
E00073171,4,324,0,0,0,49,27,3,1,0,0,21,72,1,3,7,7,519
E00073172,0,207,0,0,0,27,20,2,4,1,0,12,35,0,1,1,3,313
E00073173,3,192,0,0,0,37,22,3,3,0,3,27,25,0,3,2,5,325
E00073174,4,175,0,3,0,33,28,0,2,0,0,22,40,1,3,0,1,312
E00073176,4,176,0,0,0,53,24,4,1,0,0,10,61,1,2,1,8,345
E00073177,6,190,0,1,0,34,38,0,0,0,0,7,52,1,5,1,6,341
