Row Labels,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,TotalOcT
E00073143,19,68,48,12,17,21,16,8,18,227
E00073145,12,46,29,17,10,26,10,11,44,205
E00073147,20,55,36,18,17,20,27,23,43,259
E00073148,16,43,42,13,9,18,17,5,26,189
E00073150,21,78,48,30,26,27,24,8,24,286
E00073152,31,85,37,11,14,9,9,5,10,211
E00073153,48,88,69,12,26,17,9,0,15,284
E00073154,24,84,36,13,15,11,11,3,7,204
E00073155,27,84,38,15,9,19,9,10,10,221
E00073156,12,46,30,13,17,16,8,7,13,162
E00073157,30,94,50,24,5,13,15,13,17,261
E00073158,17,68,37,14,16,12,8,9,12,193
E00073159,23,82,18,23,9,6,7,1,3,172
E00073160,26,97,55,19,12,10,8,5,8,240
E00073161,23,64,31,13,21,8,11,11,17,199
E00073162,37,90,51,18,7,10,18,5,19,255
E00073163,27,75,38,11,10,9,7,2,9,188
E00073164,21,82,39,12,11,9,8,7,4,193
E00073165,24,67,31,12,11,13,13,6,16,193
E00073166,17,66,36,15,17,16,8,5,12,192
E00073167,24,117,66,21,16,19,15,8,11,297
E00073168,21,55,50,9,23,14,13,7,16,208
E00073169,34,70,79,13,21,19,18,7,20,281
E00073170,27,98,66,23,20,21,23,8,26,312
E00073171,22,91,47,21,24,36,19,11,32,303
E00073172,9,56,41,8,14,8,7,6,10,159
E00073173,18,71,46,11,10,8,5,3,7,179
E00073174,27,69,36,13,16,15,8,0,8,192
E00073176,8,64,40,13,10,19,18,10,23,205
E00073177,6,48,37,15,13,24,17,8,25,193
E00073178,18,58,42,16,15,22,9,4,12,196
E00073179,25,62,49,16,6,12,7,7,18,202
E00073181,17,52,35,11,17,33,19,11,37,232
E00073182,17,63,49,18,12,24,15,3,33,234
E00073183,12,26,21,19,18,17,12,16,19,160
E00073184,11,21,11,17,19,14,15,19,24,151
E00073185,12,13,19,12,20,17,6,24,46,169
E00073186,12,14,14,21,25,17,11,15,28,157
E00073187,13,12,19,12,15,22,16,24,49,182
E00073188,8,11,9,15,15,14,17,12,22,123
E00073189,12,19,20,12,18,19,11,25,26,162
E00073190,8,15,17,5,10,13,19,14,37,138
E00073191,7,15,17,13,14,20,13,7,16,122
E00073192,8,32,26,16,11,12,11,13,21,150
E00073193,17,32,34,19,24,14,17,8,21,186
E00073194,13,13,8,19,10,22,7,18,16,126
E00073195,24,30,16,13,18,20,8,20,27,176
E00073196,6,14,6,9,4,8,6,12,29,94
E00073197,18,50,29,25,11,12,7,21,27,200
E00073198,4,12,5,6,10,8,11,7,15,78
E00073199,9,21,10,14,19,6,12,11,26,128
E00073200,6,12,11,8,14,12,11,16,20,110
E00073201,12,29,27,8,12,10,10,10,17,135
E00073202,17,30,23,19,18,7,9,27,33,183
E00073203,14,39,27,18,13,6,12,13,18,160
E00073204,16,28,23,14,19,18,20,9,24,171
E00073205,20,44,25,16,21,18,15,19,40,218
E00073206,23,51,41,25,18,22,17,9,25,231
E00073207,16,31,14,16,12,20,13,9,16,147
E00073208,7,24,16,13,8,8,8,0,17,101
E00073209,5,21,11,12,4,12,11,15,25,116
E00073210,28,45,35,20,24,19,10,18,20,219
E00073211,24,22,35,25,28,26,37,39,73,309
E00073212,17,15,25,17,24,17,15,50,75,255
E00073213,19,24,13,17,22,19,9,34,60,217
E00073214,14,19,17,19,29,14,18,27,36,193
E00073215,5,8,5,5,10,19,7,9,21,89
E00073216,3,15,8,11,13,22,7,17,47,143
E00073217,20,13,18,22,17,17,11,25,51,194
E00073218,17,20,15,17,20,20,15,26,59,209
E00073219,6,8,4,6,8,14,10,18,35,109
E00073220,13,13,15,17,19,26,17,22,33,175
E00073221,17,23,11,18,18,11,12,11,37,158
E00073222,16,20,22,15,20,16,17,22,37,185
E00073223,12,30,20,17,27,19,12,20,28,185
E00073224,24,67,43,14,9,10,9,7,12,195
E00073225,21,101,57,18,18,21,18,11,23,288
E00073226,8,45,20,5,9,11,7,7,18,130
E00073227,10,62,39,12,11,11,11,7,20,183
E00073228,22,82,51,19,11,14,11,7,9,226
E00073229,18,34,21,25,17,16,11,15,14,171
E00073230,24,92,52,19,12,10,11,0,4,224
E00073231,28,97,45,19,21,23,14,5,17,269
E00073232,21,95,40,14,12,8,10,3,10,213
E00073233,23,51,31,18,13,8,7,5,2,158
E00073234,26,67,29,13,14,10,8,4,16,187
E00073236,25,59,31,15,12,10,7,1,5,165
E00073237,31,85,50,26,10,14,11,3,9,239
E00073238,30,97,37,14,9,9,7,1,11,215
E00073239,41,105,61,23,22,27,23,13,17,332
E00073240,23,60,34,22,26,16,14,11,24,230
E00073241,24,85,38,13,8,2,10,8,5,193
E00073242,16,36,25,8,15,13,11,12,20,156
E00073243,24,39,37,14,20,18,10,8,9,179
E00073245,16,40,30,21,31,10,20,14,14,196
E00073246,21,53,33,25,17,8,11,8,9,185
E00073247,21,30,18,22,33,17,18,13,22,194
E00073248,24,71,35,21,12,7,4,10,8,192
E00073249,7,8,9,5,7,2,6,7,6,57
E00073250,32,77,45,41,41,23,25,18,37,339
E00073251,24,75,42,22,20,7,13,9,15,227
E00073252,20,44,34,14,19,18,11,18,39,217
E00073253,20,68,46,25,27,22,18,9,26,261
E00073254,21,43,43,14,27,9,17,5,21,200
E00073255,28,63,50,15,25,17,11,15,20,244
E00073256,16,34,45,26,26,21,16,12,27,223
E00073257,20,39,26,26,29,16,18,11,27,212
E00073258,22,54,29,23,21,17,23,16,28,233
E00073259,19,24,17,19,15,10,12,9,10,135
E00073260,15,45,27,18,22,19,9,11,16,182
E00073261,17,25,14,24,18,11,9,10,17,145
E00073262,7,13,12,5,11,9,11,10,14,92
E00073263,25,88,41,14,18,15,17,7,20,245
E00073264,28,69,28,11,11,9,9,1,10,176
E00073266,28,75,42,11,10,8,10,3,17,204
E00073267,11,61,21,8,8,10,8,0,13,140
E00073268,35,100,52,20,7,10,13,7,15,259
E00073269,31,76,36,15,12,17,21,10,18,236
E00073270,14,89,36,12,8,11,12,6,11,199
E00073271,26,126,36,22,11,13,9,3,19,265
E00073272,16,64,40,15,14,9,12,6,13,189
E00073273,18,65,32,7,8,9,4,6,10,159
E00073274,22,60,26,8,23,5,17,10,27,198
E00073276,15,49,32,7,14,13,16,4,21,171
E00073277,23,88,39,11,14,9,7,4,10,205
E00073278,33,110,29,8,11,6,6,1,13,217
