Row Labels,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,TotalOcc
E00073143,59,20,24,23,16,27,82,32,32,315
E00073145,31,12,34,49,29,68,51,43,25,342
E00073147,45,19,45,63,50,46,66,38,43,415
E00073148,39,12,30,26,13,39,72,23,15,269
E00073150,52,22,39,47,24,36,105,47,33,405
E00073152,89,7,15,13,22,49,75,23,30,323
E00073153,94,6,24,23,18,38,124,25,69,421
E00073154,83,4,13,10,10,41,82,23,29,295
E00073155,87,9,26,9,7,40,79,24,30,311
E00073156,36,8,23,20,13,16,58,21,39,234
E00073157,87,7,15,21,4,69,94,32,29,358
E00073158,46,16,22,30,21,12,82,28,30,287
E00073159,83,7,13,11,4,27,61,32,25,263
E00073160,92,8,17,19,17,31,106,31,32,353
E00073161,51,8,25,36,40,20,68,26,38,312
E00073162,87,10,14,18,7,79,87,24,29,355
E00073163,89,2,8,9,3,51,73,18,23,276
E00073164,62,7,11,18,18,17,75,27,31,266
E00073165,60,7,14,16,7,116,62,16,22,320
E00073166,47,6,14,16,12,19,71,33,25,243
E00073167,91,10,24,19,14,47,103,43,38,389
E00073168,46,11,30,33,27,25,78,29,31,310
E00073169,78,13,34,30,22,43,123,24,46,413
E00073170,78,17,26,21,23,200,105,44,27,541
E00073171,72,13,53,39,29,62,87,43,42,440
E00073172,39,6,22,20,28,18,71,16,30,250
E00073173,58,6,16,13,16,24,92,18,24,267
E00073174,65,8,21,15,16,23,79,22,28,277
E00073176,50,12,31,24,24,60,58,32,27,318
E00073177,38,17,32,30,14,52,55,22,27,287
E00073178,49,16,24,19,15,67,67,32,21,310
E00073179,57,9,22,21,23,30,83,25,27,297
E00073181,44,15,39,56,55,46,67,28,28,378
E00073182,56,12,19,44,34,88,80,32,34,399
E00073183,25,21,41,41,24,11,43,35,29,270
E00073184,19,30,36,59,23,13,35,32,12,259
E00073185,10,12,41,94,31,20,43,21,12,284
E00073186,8,18,32,62,23,10,39,30,13,235
E00073187,11,28,37,86,30,20,37,27,25,301
E00073188,12,23,41,47,21,10,25,23,12,214
E00073189,19,25,26,53,18,14,37,29,20,241
E00073190,16,25,46,67,76,17,38,29,17,331
E00073191,17,12,39,42,20,16,28,34,14,222
E00073192,22,11,24,37,22,9,47,28,18,218
E00073193,30,25,33,45,8,19,69,43,24,296
E00073194,13,10,32,50,31,17,31,31,14,229
E00073195,28,23,34,62,21,14,41,34,16,273
E00073196,16,12,31,55,30,7,19,12,9,191
E00073197,50,21,23,57,11,8,71,45,29,315
E00073198,13,15,33,48,24,5,17,17,14,186
E00073199,23,20,38,42,19,10,30,22,12,216
E00073200,10,13,35,58,34,14,30,27,16,237
E00073201,21,13,16,39,14,9,55,28,19,214
E00073202,31,13,30,59,19,10,51,32,29,274
E00073203,27,18,24,48,14,10,54,37,14,246
E00073204,24,17,31,42,16,8,49,37,26,250
E00073205,40,18,37,71,10,10,67,41,30,324
E00073206,53,15,41,47,17,26,81,59,24,363
E00073207,25,22,30,42,17,10,60,32,16,254
E00073208,18,10,34,35,18,9,40,35,12,211
E00073209,17,13,43,42,22,11,35,23,19,225
E00073210,43,16,28,43,12,13,73,46,35,309
E00073211,22,28,47,125,27,14,71,54,31,419
E00073212,17,26,33,122,16,12,37,31,35,329
E00073213,24,23,40,89,22,6,44,25,23,296
E00073214,20,26,44,66,22,11,41,34,36,300
E00073215,7,13,36,41,31,18,18,7,7,178
E00073216,13,12,43,64,23,15,23,21,17,231
E00073217,15,26,25,79,14,11,46,29,26,271
E00073218,17,17,36,89,17,28,40,34,35,313
E00073219,8,11,40,75,27,13,17,12,12,215
E00073220,9,26,47,60,23,17,43,33,23,281
E00073221,18,21,45,52,16,18,39,28,19,256
E00073222,24,24,32,74,32,27,47,33,17,310
E00073223,20,23,29,58,17,9,53,38,21,268
E00073224,67,6,19,30,12,5,75,36,19,269
E00073225,94,19,28,41,17,22,85,31,26,363
E00073226,33,15,27,40,26,11,45,15,16,228
E00073227,55,12,19,28,19,8,54,20,18,233
E00073228,64,11,19,18,15,24,84,38,25,298
E00073229,39,17,38,31,9,5,46,41,29,255
E00073230,77,7,21,11,6,23,95,27,21,288
E00073231,94,24,27,21,7,19,93,39,28,352
E00073232,85,8,19,15,5,16,84,18,14,264
E00073233,57,9,11,11,11,12,64,33,24,232
E00073234,59,14,25,15,10,15,72,27,24,261
E00073236,45,7,21,22,9,19,66,28,17,234
E00073237,76,8,18,18,7,7,91,35,17,277
E00073238,83,4,16,19,0,11,86,17,17,253
E00073239,84,20,33,25,20,19,127,47,40,415
E00073240,56,20,38,44,19,21,71,34,33,336
E00073241,67,9,15,15,14,10,82,17,14,243
E00073242,30,11,25,41,11,13,58,24,20,233
E00073243,49,18,30,25,20,13,65,41,26,287
E00073245,42,21,35,34,10,12,54,50,35,293
E00073246,43,11,32,26,17,11,71,42,14,267
E00073247,33,19,33,36,9,7,49,40,35,261
E00073248,70,14,15,24,14,13,66,29,14,259
E00073249,10,16,34,51,43,4,30,20,19,227
E00073250,66,32,39,62,17,15,94,61,38,424
E00073251,70,23,35,36,17,13,84,44,13,335
E00073252,45,20,39,57,13,17,53,24,22,290
E00073253,48,27,45,61,48,19,83,40,28,399
E00073254,38,22,20,36,11,9,77,37,30,280
E00073255,68,16,40,49,22,10,72,41,33,351
E00073256,43,18,36,52,15,16,54,50,25,309
E00073257,36,18,38,56,9,14,55,53,30,309
E00073258,39,20,34,51,13,18,74,39,32,320
E00073259,25,17,26,26,21,7,51,27,26,226
E00073260,33,15,30,33,20,11,60,36,29,267
E00073261,25,17,36,44,28,8,44,42,25,269
E00073262,8,13,38,39,39,9,27,12,15,200
E00073263,70,11,20,20,6,72,96,19,23,337
E00073264,79,8,12,15,13,73,65,15,24,304
E00073266,70,5,13,14,0,60,77,24,13,276
E00073267,59,8,22,14,7,22,62,20,15,229
E00073268,91,7,15,16,3,62,103,32,21,350
E00073269,69,8,12,14,10,87,82,30,28,340
E00073270,87,5,11,12,4,100,68,17,20,324
E00073271,102,10,15,16,11,85,102,36,24,401
E00073272,59,8,24,22,11,45,66,30,26,291
E00073273,50,7,6,25,7,22,75,18,24,234
E00073274,62,46,38,125,48,35,61,20,91,526
E00073276,33,14,15,18,16,91,56,20,24,287
E00073277,67,8,13,11,3,37,87,16,22,264
E00073278,111,10,12,13,4,31,83,20,17,301
E00073280,92,2,15,9,8,43,61,24,15,269
E00073281,78,8,13,11,5,75,83,22,34,329
E00073282,91,6,19,5,3,71,64,25,25,309
E00073283,83,10,17,14,6,24,70,17,22,263
E00073284,21,4,13,19,26,31,37,14,18,183
E00073285,90,10,17,13,8,68,80,22,16,324
E00073286,74,7,14,16,6,24,74,28,28,271
E00073287,78,5,14,11,2,17,66,23,22,238
E00073288,67,7,11,16,18,33,75,17,30,274
E00073289,108,8,8,7,1,51,69,19,17,288
E00073290,104,6,9,9,3,10,61,13,28,243
E00073291,79,9,20,6,4,21,73,16,38,266
E00073292,105,13,28,25,11,88,109,41,31,451
E00073293,78,9,15,19,5,55,89,31,16,317
E00073294,72,7,26,19,17,101,80,16,22,360
E00073295,67,5,11,14,9,14,81,25,29,255
E00073296,64,10,16,12,4,36,70,20,20,252
E00073297,61,7,13,17,7,68,80,21,24,298
E00073298,52,19,31,28,14,97,88,37,20,386
E00073299,77,5,15,24,6,36,83,27,24,297
E00073300,69,4,11,6,4,20,63,11,21,209
E00073301,27,23,50,38,10,7,65,53,40,313
E00073302,11,20,45,47,19,18,31,36,25,252
E00073303,22,17,39,56,34,25,42,54,32,321
E00073304,9,16,39,67,27,16,30,24,25,253
E00073305,20,23,38,39,23,13,33,44,21,254
E00073306,23,22,20,21,18,15,41,25,41,226
E00073307,30,18,33,29,19,8,49,23,27,236
E00073308,15,17,42,58,32,19,33,25,19,260
E00073309,9,17,33,50,24,7,32,37,30,239
E00073310,20,20,54,62,37,20,36,23,28,300
E00073311,15,17,41,49,44,13,37,17,15,248
E00073312,6,16,56,59,35,13,30,35,25,275
E00073313,21,20,49,55,30,13,47,26,24,285
E00073314,8,9,30,35,39,15,12,17,10,175
E00073315,1,12,30,28,13,8,13,19,24,148
E00073316,9,15,36,40,36,16,15,29,22,218
E00073317,13,11,41,49,20,18,30,21,18,221
E00073318,11,16,46,68,47,18,28,20,17,271
E00073319,70,30,40,36,9,18,96,40,40,379
E00073320,40,16,33,38,16,17,70,34,38,302
E00073321,24,20,29,46,22,13,52,36,20,262
E00073322,33,21,31,30,13,9,47,53,32,269
E00073323,26,20,25,23,8,16,41,39,26,224
E00073324,42,9,34,36,10,21,67,52,20,291
E00073325,37,18,35,43,16,12,77,35,25,298
E00073326,10,24,25,58,46,12,34,33,19,261
E00073327,24,15,38,42,30,14,50,36,25,274
E00073328,29,15,44,48,14,9,66,45,26,296
E00073329,20,15,37,45,16,3,47,37,30,250
E00073330,36,15,47,43,19,12,61,28,36,297
E00073331,51,15,34,40,20,15,70,48,53,346
E00073332,24,20,36,28,7,6,53,44,30,248
E00073333,30,21,30,34,13,7,43,51,29,258
E00073334,24,13,27,35,10,7,44,32,49,241
E00073335,16,21,66,65,41,20,37,51,35,352
E00073336,24,13,40,29,24,15,33,39,37,254
E00073337,25,17,43,29,15,15,36,33,28,241
E00073338,25,15,24,39,14,1,55,32,25,230
E00073339,29,15,17,44,10,15,78,27,20,255
E00073340,38,10,25,24,15,6,54,32,10,214
E00073341,51,6,20,13,9,11,74,25,31,240
E00073342,45,23,41,48,15,28,65,35,40,340
E00073343,51,11,37,37,15,9,65,57,28,310
E00073344,34,16,17,24,12,7,54,35,16,215
E00073345,11,11,19,20,6,9,37,26,13,152
E00073346,50,13,44,26,14,9,69,32,19,276
E00073347,24,5,22,17,4,7,45,26,11,161
E00073348,47,9,29,24,9,5,51,39,14,227
E00073349,22,11,38,39,28,30,37,22,30,257
E00073350,53,11,31,51,20,11,61,34,19,291
E00073351,22,18,38,57,35,24,36,25,27,282
E00073352,20,7,33,41,24,13,27,24,23,212
E00073353,75,16,19,20,8,7,80,38,28,291
E00073354,11,20,41,56,25,21,35,30,27,266
E00073355,30,24,21,54,27,25,48,30,34,293
E00073356,57,12,23,30,27,9,68,44,42,312
E00073357,36,10,28,34,14,14,57,28,31,252
E00073358,27,17,32,39,10,8,55,41,31,260
E00073359,25,18,36,45,17,7,51,46,20,265
E00073360,25,19,27,36,11,6,35,32,25,216
E00073361,33,23,27,27,61,9,59,23,29,291
E00073362,49,26,31,43,18,16,82,53,23,341
E00073363,27,19,54,40,11,16,47,39,27,280
E00073364,23,16,29,55,30,12,33,20,22,240
E00073365,25,21,24,51,16,10,46,28,28,249
E00073366,61,17,36,33,15,19,77,45,38,341
E00073367,24,20,26,38,9,9,63,36,31,256
E00073368,19,15,43,37,20,10,44,36,21,245
