Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073143,0,7,0,0,15,7,9,2,283,13,20,356
E00073145,62,0,0,0,40,0,16,2,255,13,27,415
E00073147,41,1,1,2,31,0,8,1,364,67,21,537
E00073148,26,1,0,0,39,1,10,4,190,8,12,291
E00073150,17,6,0,0,22,0,6,1,350,35,23,460
E00073152,7,0,0,1,16,0,5,3,348,16,11,407
E00073153,20,3,0,2,17,0,7,3,438,13,11,514
E00073154,6,2,2,0,18,0,6,2,329,10,4,379
E00073155,8,5,0,1,20,4,2,2,305,13,4,364
E00073156,10,0,0,1,18,1,6,0,238,4,10,288
E00073157,9,1,1,0,25,0,7,1,354,9,6,413
E00073158,3,1,0,2,21,2,9,4,268,18,16,344
E00073159,6,1,0,0,13,3,10,2,278,7,13,333
E00073160,8,1,0,1,14,1,2,5,337,20,15,404
E00073161,33,1,0,1,21,1,4,2,276,34,14,387
E00073162,9,3,0,0,26,0,11,1,333,5,7,395
E00073163,4,5,0,1,15,0,3,2,294,7,8,339
E00073164,2,1,0,1,10,1,4,1,246,23,7,296
E00073165,3,0,0,2,14,1,4,4,298,9,8,343
E00073166,3,4,0,1,22,0,2,0,239,10,8,289
E00073167,9,1,0,0,26,3,11,1,352,11,12,426
E00073168,11,3,0,2,20,2,11,1,299,20,7,376
E00073169,8,7,1,0,32,2,6,3,382,22,11,474
E00073170,15,6,0,1,35,2,19,7,460,20,11,576
E00073171,47,3,1,0,24,0,4,2,388,32,18,519
E00073172,19,0,0,0,16,2,3,0,246,14,14,314
E00073173,8,3,0,0,10,1,0,0,277,10,14,323
E00073174,6,1,0,0,16,3,3,3,260,8,12,312
E00073176,40,1,0,0,10,3,8,0,257,11,13,343
E00073177,24,3,0,0,14,3,8,1,257,7,28,345
