Row Labels,Apprenticeship,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",No qualifications,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",TotalQual
E00073143,14,7,31,50,185,23,3,313
E00073145,3,14,38,78,154,45,11,343
E00073147,25,31,54,66,155,71,11,413
E00073148,4,11,18,44,163,24,5,269
E00073150,16,30,38,61,205,50,4,404
E00073152,3,10,25,62,199,27,0,326
E00073153,0,15,33,62,281,28,1,420
E00073154,9,5,21,49,192,17,1,294
E00073155,10,7,21,35,225,9,3,310
E00073156,5,16,19,40,142,14,0,236
E00073157,7,14,21,85,220,7,4,358
E00073158,3,14,19,42,159,38,11,286
E00073159,1,5,16,36,188,9,3,258
E00073160,4,10,31,37,249,14,4,349
E00073161,8,21,24,40,160,54,2,309
E00073162,4,8,26,78,230,9,0,355
E00073163,6,5,21,49,187,9,0,277
E00073164,4,16,16,37,171,22,0,266
E00073165,1,0,17,112,177,9,0,316
E00073166,7,7,19,39,161,11,0,244
E00073167,3,8,26,64,269,14,4,388
E00073168,9,17,40,46,155,38,6,311
E00073169,8,9,30,56,274,28,8,413
E00073170,4,16,24,208,273,13,3,541
E00073171,10,22,44,84,239,34,8,441
E00073172,5,11,24,29,143,32,2,246
E00073173,6,10,11,37,180,23,1,268
E00073174,6,9,27,33,180,17,6,278
E00073176,8,19,25,63,155,42,7,319
E00073177,6,21,24,58,162,17,0,288
E00073178,6,15,18,66,188,13,5,311
E00073179,0,15,19,56,169,34,3,296
E00073181,10,43,48,68,135,57,14,375
E00073182,8,22,41,88,195,42,4,400
E00073183,27,28,49,42,54,59,10,269
E00073184,12,46,39,42,47,67,6,259
E00073185,18,39,33,46,48,87,10,281
E00073186,13,27,36,51,44,57,7,235
E00073187,25,30,40,48,57,86,15,301
E00073188,10,33,36,36,35,59,4,213
E00073189,16,33,37,43,52,53,8,242
E00073190,12,29,41,45,38,153,9,327
E00073191,10,30,33,32,61,49,5,220
E00073192,8,15,31,30,71,60,2,217
E00073193,19,22,48,60,90,45,8,292
E00073194,12,38,36,40,39,54,9,228
E00073195,14,36,44,58,50,57,12,271
E00073196,11,18,25,19,44,60,15,192
E00073197,17,22,46,40,124,51,14,314
E00073198,12,24,25,20,31,59,17,188
E00073199,12,26,36,42,42,52,6,216
E00073200,15,22,39,24,45,90,1,236
E00073201,11,29,24,30,72,41,6,213
E00073202,18,38,40,33,96,39,11,275
E00073203,19,18,29,30,104,38,10,248
E00073204,18,21,33,40,68,63,4,247
E00073205,27,29,46,56,116,42,5,321
E00073206,20,42,51,56,122,64,9,364
E00073207,17,32,37,45,77,39,9,256
