Row Labels,Lives rent free,Owned: Owns outright,Owned: Owns with a mortgage or loan,Private rented: Other private rented,Private rented: Private landlord or letting agency,Shared ownership: Shared ownership,Social rented: Other social rented,Social rented: Rents from council or Local Authority,Grand Total
E00073143,0,41,50,8,34,5,6,4,148
E00073145,1,11,12,4,61,0,42,27,158
E00073147,0,41,45,5,40,0,30,10,171
E00073148,0,11,12,3,77,1,29,9,142
E00073150,1,39,50,4,45,1,27,24,191
E00073152,0,43,59,5,35,1,0,1,144
E00073153,0,63,64,6,52,0,6,6,197
E00073154,0,44,67,2,17,0,0,0,130
E00073155,0,34,45,2,57,0,6,4,148
E00073156,0,32,36,5,26,0,3,19,121
E00073157,0,38,59,4,61,0,0,0,162
E00073158,1,45,42,2,33,0,22,6,151
E00073159,0,42,48,2,34,0,0,1,127
E00073160,0,47,60,7,46,0,7,9,176
E00073161,4,44,48,6,33,0,11,13,159
E00073162,0,31,36,2,96,1,0,2,168
E00073163,0,53,43,1,24,0,0,0,121
E00073164,0,50,37,6,25,2,2,4,126
E00073165,0,22,28,1,71,0,10,0,132
E00073166,0,32,43,4,24,0,5,2,110
E00073167,0,26,52,9,65,0,34,1,187
E00073168,1,25,34,8,55,2,17,15,157
E00073169,0,46,52,5,70,0,14,6,193
E00073170,0,21,36,10,128,2,14,3,214
E00073171,1,17,43,11,75,1,27,31,206
E00073172,0,25,36,4,21,3,43,19,151
E00073173,0,40,37,6,21,1,14,18,137
E00073174,0,43,45,2,22,0,28,4,144
E00073176,2,15,21,3,80,0,25,30,176
E00073177,0,7,13,1,57,0,66,14,158
E00073178,0,27,29,8,38,0,30,11,143
E00073179,0,33,37,1,34,0,21,11,137
E00073181,2,13,24,2,20,28,39,77,205
E00073182,0,14,21,3,92,0,51,9,190
E00073183,0,48,43,0,13,2,0,26,132
E00073184,1,25,42,3,10,1,6,33,121
E00073185,0,28,44,2,16,0,10,43,143
E00073186,0,30,36,2,13,0,1,29,111
E00073187,0,33,45,6,16,0,2,44,146
E00073188,1,24,39,2,8,1,0,37,112
E00073189,0,36,50,3,6,0,0,24,119
E00073190,0,24,33,3,15,0,7,38,120
E00073191,1,21,30,4,14,1,3,52,126
E00073192,0,28,50,1,16,0,2,25,122
E00073193,0,76,49,1,10,0,3,0,139
E00073194,0,22,29,0,10,0,15,38,114
